"","money"
"587","Arizona jurors who will decide a malicious-prosecution trial against former Sheriff Joe Arpaio were told Tuesday that one of Sen. Jeff Flake's sons suffered from depression as a result of a now-dismissed animal cruelty case that the lawman brought..."
"588","President Donald Trump on Monday shrank two wilderness national monuments in Utah by at least half in the biggest rollback of public land protection in U.S. history, drawing praise from pro-development lawmakers and a lawsuit from environmentalist..."
"589","Supercar makers have long known that parked next to that snarling Lamborghini, a racing-red Ferrari, or stately Bentley at some of the globe's toniest addresses is a practical SUV. With the sport utility vehicle market growing by leaps and bounds,..."
"590","In Xinjiancun, a ramshackle village of migrant workers on the far southern fringe of Beijing, demolition machinery tears into buildings as residents drag out the last of their belongings under the gaze of police and security staff."
"591","Mr. Scaramucci said he was stepping down to spare Tufts, his alma mater, unnecessary scrutiny. But he stood by his threat of legal action against a student journalist."
"592","In a story Nov. 28 about a Montana court for lawsuits from asbestos victims, The Associated Press reported erroneously International Paper's interest in a lumber mill in Libby, Montana. While the company remains a party to asbestos lawsuits, it so..."
"593","Has the Trump slump that the travel industry warned about finally hit?"
"594","The wildfires that ravaged Northern California wine country two months ago have generated $9 billion in insurance claims, far more than the single costliest fire in U.S. history, officials said Wednesday."
"595","Scotland, Wales and London should all benefit from any special deal given to Northern Ireland to smooth access to European Union markets after Brexit, the three regions' most senior politicians said on Monday."
"596","Germany's telecoms industry should accelerate the build-out of the country's high-speed broadband network, its regulator said on Monday, adding it was considering easier regulation on glass-fiber internet to speed the process."
"597","In acquiring the meeting-organization company, WeWork is seeking to again extend its business beyond office space into more facets of customers’ lives."
"598","Roger Goodell signed a five-year contract extension to remain the commissioner of the NFL, according to a memo sent to league owners from the compensation committee on Wednesday."
"599","A Japanese cosmetic surgeon criticized for praising Nazis and playing down Japan's wartime atrocities won an auction for a memoir by Emperor Hirohito that chronicles the nation's slide into World War Two, paying $275,000 for the document."
"600","Oil analysts have raised their forecasts for the crude price next year after major producers agreed to extend output cuts, a Reuters poll showed on Wednesday."
"601","Property owners up and down the New Jersey shore have tried many ways to block a protective sand dune project from being built on their land."
"602","There have been attempts to merge Brooklyn and Queens libraries into the New York Public Library system. But there are practical reasons for not doing so."
"603","The designer returned to the German port city of his birth to show his latest collection at the new Elbphilharmonie concert hall."
"604","San Diego on Friday opened the first of three industrial-sized tents to house the homeless as part of the city's efforts to contain a hepatitis A outbreak stemming from the deplorable conditions people were living in on the streets."
